"Date","Price","Open","High","Low","Vol.","Change %"
"08/26/2007","147.59","147.85","148.50","143.46","917.76M","-0.50%"
"08/19/2007","148.33","145.17","148.33","143.29","850.36M","2.50%"
"08/12/2007","144.71","146.50","146.89","137.00","1.70B","0.00%"
"08/05/2007","144.71","144.21","150.59","142.53","1.65B","0.63%"
"07/29/2007","143.80","145.93","149.46","143.20","1.72B","-0.90%"
"07/22/2007","145.11","154.18","154.72","145.05","1.53B","-5.47%"
"07/15/2007","153.50","154.99","156.00","152.29","853.23M","-0.87%"
"07/08/2007","154.85","153.16","155.46","150.52","674.00M","1.22%"
"07/01/2007","152.98","150.87","153.17","150.77","327.79M","1.70%"
"06/24/2007","150.43","150.24","151.65","148.06","1.00B","-0.08%"
"06/17/2007","150.55","153.38","153.58","149.85","787.45M","-1.65%"
"06/10/2007","153.07","150.93","153.66","149.55","832.79M","1.34%"
"06/03/2007","151.04","153.54","154.39","149.06","779.73M","-1.97%"
"05/27/2007","154.08","151.94","154.40","151.34","438.85M","1.58%"
"05/20/2007","151.69","152.58","153.50","150.74","662.04M","-0.61%"
"05/13/2007","152.62","150.86","152.62","149.79","604.45M","1.17%"
"05/06/2007","150.86","150.88","152.82","149.27","515.30M","-0.04%"
"04/29/2007","150.92","149.64","151.12","147.67","506.94M","0.93%"
"04/22/2007","149.53","148.37","149.80","147.32","498.19M","0.61%"
"04/15/2007","148.62","145.83","148.62","145.82","507.51M","2.27%"
"04/08/2007","145.32","144.65","145.32","143.34","416.00M","0.75%"
"04/01/2007","144.24","142.16","144.44","140.89","272.86M","1.58%"
"03/25/2007","142.00","143.50","143.65","140.56","635.09M","-0.97%"
"03/18/2007","143.39","139.26","143.81","138.55","526.45M","3.51%"
"03/11/2007","138.53","140.42","141.34","136.75","757.35M","-1.60%"
"03/04/2007","140.78","137.93","141.42","137.33","629.03M","1.52%"
"02/25/2007","138.67","145.83","145.95","138.05","898.09M","-4.56%"
"02/18/2007","145.30","145.56","146.42","144.06","271.99M","-0.30%"
"02/11/2007","145.73","143.94","145.95","143.19","274.41M","1.24%"
"02/04/2007","143.94","144.70","145.36","143.39","308.27M","-0.60%"
"01/28/2007","144.81","142.19","144.95","141.74","347.47M","1.86%"
"01/21/2007","142.16","143.07","143.98","141.58","320.38M","-0.46%"
"01/14/2007","142.82","143.07","143.46","142.31","221.84M","-0.29%"
"01/07/2007","143.24","140.82","143.24","140.25","333.07M","1.92%"
"12/31/2006","140.54","142.25","142.86","140.38","241.18M","-0.76%"
"12/24/2006","141.62","140.81","142.70","140.78","155.19M","0.62%"
"12/17/2006","140.75","142.54","142.88","140.67","266.28M","-1.12%"
"12/10/2006","142.34","141.42","143.24","140.89","308.46M","0.65%"
"12/03/2006","141.42","140.25","142.30","140.23","357.01M","0.86%"
"11/26/2006","140.22","140.28","141.05","138.11","492.92M","-0.09%"
"11/19/2006","140.35","140.30","141.16","139.94","197.07M","-0.05%"
"11/12/2006","140.42","138.18","140.68","138.07","365.77M","1.58%"
"11/05/2006","138.24","136.96","139.14","136.86","359.14M","1.25%"
"10/29/2006","136.54","137.66","138.31","135.62","336.07M","-0.99%"
"10/22/2006","137.91","136.56","139.00","136.39","345.10M","0.78%"
"10/15/2006","136.84","136.52","137.37","135.67","332.68M","0.15%"
"10/08/2006","136.63","134.85","136.71","134.30","314.83M","1.20%"
"10/01/2006","135.01","133.54","135.41","132.34","332.10M","1.07%"
"09/24/2006","133.58","131.73","133.99","131.05","355.35M","1.60%"
"09/17/2006","131.47","131.79","132.77","131.00","386.42M","-0.37%"
"09/10/2006","131.96","129.86","132.45","129.48","335.87M","1.29%"
"09/03/2006","130.28","131.51","131.85","129.35","237.56M","-0.87%"
"08/27/2006","131.42","129.65","131.58","129.64","251.94M","1.24%"
"08/20/2006","129.81","130.18","130.52","129.19","269.35M","-0.67%"
"08/13/2006","130.69","127.63","130.69","126.92","327.33M","2.90%"
"08/06/2006","127.01","127.90","128.60","126.28","332.07M","-0.93%"
"07/30/2006","128.20","127.66","129.43","126.60","339.65M","0.17%"
"07/23/2006","127.98","124.44","128.14","124.44","442.35M","3.25%"
"07/16/2006","123.95","123.50","126.30","122.39","553.47M","0.35%"
"07/09/2006","123.52","126.94","127.43","122.83","423.03M","-2.44%"
"07/02/2006","126.61","127.43","128.01","126.29","226.49M","-0.49%"
"06/25/2006","127.23","124.54","127.66","123.65","335.04M","2.24%"
"06/18/2006","124.44","125.40","125.70","123.55","365.50M","-0.17%"
"06/11/2006","124.65","125.88","126.36","122.34","673.99M","-0.56%"
"06/04/2006","125.35","128.79","128.86","123.87","625.69M","-2.83%"
"05/28/2006","129.00","127.97","129.43","126.05","324.82M","0.48%"
"05/21/2006","128.38","126.28","128.38","124.76","513.28M","1.01%"
"05/14/2006","127.10","128.79","130.00","125.80","503.26M","-1.66%"
"05/07/2006","129.24","132.51","132.77","129.19","296.69M","-2.48%"
"04/30/2006","132.52","131.47","132.80","130.32","280.47M","0.80%"
"04/23/2006","131.47","130.93","131.75","129.59","384.64M","0.24%"
"04/16/2006","131.15","128.79","131.86","128.02","402.52M","1.90%"
"04/09/2006","128.71","129.71","130.08","128.25","208.48M","-0.64%"
"04/02/2006","129.54","130.07","131.40","129.35","305.16M","-0.22%"
"03/26/2006","129.83","130.03","130.98","129.05","309.66M","-0.29%"
"03/19/2006","130.21","130.64","130.99","129.45","274.65M","-0.31%"
"03/12/2006","130.62","128.84","131.47","128.53","283.41M","1.58%"
"03/05/2006","128.59","129.14","129.18","127.18","303.07M","-0.13%"
"02/26/2006","128.76","129.40","130.07","128.13","293.08M","-0.50%"
"02/19/2006","129.41","129.12","129.65","128.28","169.04M","0.47%"
"02/12/2006","128.81","126.57","129.21","125.95","330.17M","1.71%"
"02/05/2006","126.64","126.44","128.10","125.40","302.71M","0.29%"
"01/29/2006","126.27","128.44","128.81","126.14","340.10M","-1.77%"
"01/22/2006","128.54","126.21","128.66","125.84","345.08M","2.04%"
"01/15/2006","125.97","128.20","128.90","125.97","321.08M","-2.11%"
"01/08/2006","128.68","128.42","129.44","128.20","223.50M","0.19%"
"01/01/2006","128.44","125.10","128.58","124.39","235.85M","3.16%"
"12/25/2005","124.51","126.92","127.05","124.36","152.95M","-1.78%"
"12/18/2005","126.76","126.73","126.87","125.48","207.46M","0.32%"
"12/11/2005","126.36","126.71","128.57","125.96","303.58M","0.02%"
"12/04/2005","126.33","126.64","127.74","125.48","297.50M","-0.41%"
"11/27/2005","126.85","127.25","127.27","125.29","274.66M","-0.22%"
"11/20/2005","127.13","125.15","127.41","124.98","182.59M","1.60%"
"11/13/2005","125.13","123.76","125.76","122.86","293.98M","1.11%"
"11/06/2005","123.76","122.40","123.86","121.75","260.62M","1.35%"
"10/30/2005","122.11","120.29","122.66","120.13","365.90M","1.93%"
"10/23/2005","119.80","118.44","120.54","117.93","373.39M","1.41%"
"10/16/2005","118.13","118.77","119.81","117.12","489.27M","-0.46%"
"10/09/2005","118.67","119.68","119.71","116.88","416.59M","-0.79%"
"10/02/2005","119.61","122.96","123.34","118.17","434.75M","-2.79%"
"09/25/2005","123.04","122.02","123.04","121.02","309.77M","1.32%"
"09/18/2005","121.44","123.47","123.61","120.44","376.87M","-1.67%"
"09/11/2005","123.50","124.45","124.67","122.87","295.80M","-0.88%"
"09/04/2005","124.60","122.66","124.74","122.65","182.22M","1.91%"
"08/28/2005","122.27","120.41","123.15","120.38","355.79M","1.25%"
"08/21/2005","120.76","122.58","123.23","120.68","303.46M","-1.40%"
"08/14/2005","122.47","123.22","123.87","121.84","264.52M","-0.48%"
"08/07/2005","123.06","123.17","124.50","122.38","282.59M","0.15%"
"07/31/2005","122.88","123.83","124.74","122.67","231.14M","-0.70%"
"07/24/2005","123.74","123.41","124.64","122.37","256.61M","0.16%"
"07/17/2005","123.54","122.50","123.73","122.05","342.71M","0.57%"
"07/10/2005","122.84","121.33","123.44","121.31","264.15M","1.25%"
"07/03/2005","121.32","119.25","121.32","118.26","273.44M","1.50%"
"06/26/2005","119.53","118.97","120.40","118.75","248.93M","0.46%"
"06/19/2005","118.98","121.08","121.94","118.84","250.99M","-1.96%"
"06/12/2005","121.36","119.94","121.90","119.81","237.82M","0.97%"
"06/05/2005","120.20","120.02","121.25","119.44","246.72M","0.04%"
"05/29/2005","120.15","120.08","120.92","119.40","216.36M","-0.08%"
"05/22/2005","120.25","119.21","120.25","118.83","218.98M","0.95%"
"05/15/2005","119.12","115.70","119.41","115.66","298.10M","2.94%"
"05/08/2005","115.72","117.21","118.08","114.80","392.07M","-1.17%"
"05/01/2005","117.09","116.07","118.00","115.52","392.39M","1.16%"
"04/24/2005","115.75","115.86","116.77","113.97","391.47M","0.16%"
"04/17/2005","115.57","114.12","116.50","113.55","460.87M","1.24%"
"04/10/2005","114.15","118.29","119.06","114.10","432.20M","-3.26%"
"04/03/2005","118.00","117.36","119.26","116.74","286.52M","0.49%"
"03/27/2005","117.43","117.42","118.99","116.25","345.33M","0.25%"
"03/20/2005","117.14","118.71","118.93","116.75","278.73M","-1.18%"
"03/13/2005","118.54","120.61","121.46","118.15","300.18M","-1.54%"
"03/06/2005","120.39","122.66","123.25","120.16","285.52M","-1.91%"
"02/27/2005","122.73","121.15","122.83","120.04","299.51M","1.07%"
"02/20/2005","121.43","119.90","121.67","118.58","279.65M","0.86%"
"02/13/2005","120.39","120.69","121.46","119.90","236.49M","-0.31%"
"02/06/2005","120.77","120.25","121.04","119.25","240.36M","0.45%"
"01/30/2005","120.23","117.97","120.43","117.71","257.94M","2.38%"
"01/23/2005","117.43","117.09","117.75","116.37","301.83M","0.56%"
"01/16/2005","116.78","118.05","119.62","116.65","247.74M","-1.23%"
"01/09/2005","118.24","118.34","119.46","117.50","292.29M","-0.17%"
"01/02/2005","118.44","121.56","121.76","118.00","295.30M","-2.01%"
"12/26/2004","120.87","121.20","121.66","120.39","126.92M","0.08%"
"12/19/2004","120.77","119.75","121.28","119.17","137.56M","1.11%"
"12/12/2004","119.44","119.76","121.24","119.16","250.05M","0.09%"
"12/05/2004","119.33","119.21","119.64","117.73","237.87M","0.07%"
"11/28/2004","119.25","118.79","120.14","117.48","275.43M","0.76%"
"11/21/2004","118.35","117.17","118.98","117.03","124.77M","0.79%"
"11/14/2004","117.42","118.50","119.14","117.14","216.57M","-1.15%"
"11/07/2004","118.79","116.98","119.00","116.72","218.21M","1.29%"
"10/31/2004","117.28","113.56","117.64","113.20","288.86M","3.60%"
"10/24/2004","113.20","109.75","113.64","109.35","275.73M","2.92%"
"10/17/2004","109.99","110.89","112.23","109.75","259.05M","-1.14%"
