"date","open","high","low","close","volume","pct_chg"
2004-09-26,111.1,113.65,110.41,113.65,221690000,0.0196
2004-10-03,114.09,114.68,112.35,112.51,204340000,-0.01
2004-10-10,112.78,113.07,110.57,111.26,244580000,-0.0111
2004-10-17,110.89,112.23,109.75,109.99,259050000,-0.0114
2004-10-24,109.75,113.64,109.35,113.2,275730000,0.0292
2004-10-31,113.56,117.64,113.2,117.28,288860000,0.036
2004-11-07,116.98,119,116.72,118.79,218210000,0.0129
2004-11-14,118.5,119.14,117.14,117.42,216570000,-0.0115
2004-11-21,117.17,118.98,117.03,118.35,124770000,0.0079
2004-11-28,118.79,120.14,117.48,119.25,275430000,0.0076
2004-12-05,119.21,119.64,117.73,119.33,237870000,7e-04
2004-12-12,119.76,121.24,119.16,119.44,250050000,9e-04
2004-12-19,119.75,121.28,119.17,120.77,137560000,0.0111
2004-12-26,121.2,121.66,120.39,120.87,126920000,8e-04
2005-01-02,121.56,121.76,118,118.44,295300000,-0.0201
2005-01-09,118.34,119.46,117.5,118.24,292290000,-0.0017
2005-01-16,118.05,119.62,116.65,116.78,247740000,-0.0123
2005-01-23,117.09,117.75,116.37,117.43,301830000,0.0056
2005-01-30,117.97,120.43,117.71,120.23,257940000,0.0238
2005-02-06,120.25,121.04,119.25,120.77,240360000,0.0045
2005-02-13,120.69,121.46,119.9,120.39,236490000,-0.0031
2005-02-20,119.9,121.67,118.58,121.43,279650000,0.0086
2005-02-27,121.15,122.83,120.04,122.73,299510000,0.0107
2005-03-06,122.66,123.25,120.16,120.39,285520000,-0.0191
2005-03-13,120.61,121.46,118.15,118.54,300180000,-0.0154
2005-03-20,118.71,118.93,116.75,117.14,278730000,-0.0118
2005-03-27,117.42,118.99,116.25,117.43,345330000,0.0025
2005-04-03,117.36,119.26,116.74,118,286520000,0.0049
2005-04-10,118.29,119.06,114.1,114.15,432200000,-0.0326
2005-04-17,114.12,116.5,113.55,115.57,460870000,0.0124
2005-04-24,115.86,116.77,113.97,115.75,391470000,0.0016
2005-05-01,116.07,118,115.52,117.09,392390000,0.0116
2005-05-08,117.21,118.08,114.8,115.72,392070000,-0.0117
2005-05-15,115.7,119.41,115.66,119.12,298100000,0.0294
2005-05-22,119.21,120.25,118.83,120.25,218980000,0.0095
2005-05-29,120.08,120.92,119.4,120.15,216360000,-8e-04
2005-06-05,120.02,121.25,119.44,120.2,246720000,4e-04
2005-06-12,119.94,121.9,119.81,121.36,237820000,0.0097
2005-06-19,121.08,121.94,118.84,118.98,250990000,-0.0196
2005-06-26,118.97,120.4,118.75,119.53,248930000,0.0046
2005-07-03,119.25,121.32,118.26,121.32,273440000,0.015
2005-07-10,121.33,123.44,121.31,122.84,264150000,0.0125
2005-07-17,122.5,123.73,122.05,123.54,342710000,0.0057
2005-07-24,123.41,124.64,122.37,123.74,256610000,0.0016
2005-07-31,123.83,124.74,122.67,122.88,231140000,-0.007
2005-08-07,123.17,124.5,122.38,123.06,282590000,0.0015
2005-08-14,123.22,123.87,121.84,122.47,264520000,-0.0048
