"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2006","127.23","127.38","129.43","122.34","2.17B","-0.22%"
"05/01/2006","127.51","131.47","132.80","124.76","1.75B","-3.01%"
"04/01/2006","131.47","130.07","131.86","128.02","1.30B","1.26%"
"03/01/2006","129.83","128.60","131.47","127.18","1.35B","1.25%"
"02/01/2006","128.23","127.82","130.04","125.40","1.15B","0.57%"
"01/01/2006","127.50","125.10","129.44","124.39","1.23B","2.40%"
"12/01/2005","124.51","126.02","128.57","124.36","1.07B","-0.72%"
"11/01/2005","125.41","120.58","127.41","120.13","1.19B","4.40%"
"10/01/2005","120.13","122.96","123.34","116.88","1.79B","-2.37%"
"09/01/2005","123.04","122.51","124.74","120.44","1.29B","0.38%"
"08/01/2005","122.58","123.83","124.74","120.38","1.32B","-0.94%"
"07/01/2005","123.74","119.45","124.64","118.26","1.19B","3.83%"
"06/01/2005","119.18","119.52","121.94","118.75","1.11B","-0.25%"
"05/01/2005","119.48","116.07","120.25","114.80","1.35B","3.22%"
"04/01/2005","115.75","118.63","119.26","113.55","1.67B","-1.87%"
"03/01/2005","117.96","120.78","123.25","116.25","1.34B","-2.21%"
"02/01/2005","120.63","118.25","121.67","118.10","1.03B","2.09%"
"01/01/2005","118.16","121.56","121.76","116.37","1.19B","-2.24%"
"12/01/2004","120.87","118.16","121.66","117.73","911.60M","2.53%"
"11/01/2004","117.89","113.56","119.14","113.20","964.65M","4.14%"
"10/01/2004","113.20","112.26","114.68","109.35","1.05B","1.29%"
"09/01/2004","111.76","110.94","113.74","110.41","792.69M","0.59%"
"08/01/2004","111.11","110.19","111.63","106.59","924.66M","0.24%"
"07/01/2004","110.84","114.25","114.40","108.21","956.40M","-3.22%"
"06/01/2004","114.53","112.46","114.94","111.87","726.88M","1.48%"
"05/01/2004","112.86","111.37","113.26","108.06","984.92M","1.71%"
"04/01/2004","110.96","113.07","115.41","110.90","969.26M","-1.89%"
"03/01/2004","113.10","115.43","116.97","108.85","1.13B","-1.67%"
"02/01/2004","115.02","113.70","116.60","112.78","676.31M","1.36%"
"01/01/2004","113.48","111.74","116.50","110.73","746.62M","1.98%"
"12/01/2003","111.28","106.93","111.52","105.96","679.27M","4.54%"
"11/01/2003","106.45","105.75","106.95","103.62","631.42M","1.09%"
"10/01/2003","105.30","100.24","105.97","100.20","833.83M","5.35%"
"09/01/2003","99.95","101.64","104.70","99.25","821.45M","-1.47%"
"08/01/2003","101.44","99.19","101.82","96.34","777.64M","2.06%"
"07/01/2003","99.39","97.25","101.90","96.43","921.26M","1.80%"
"06/01/2003","97.63","97.53","102.18","96.67","871.84M","0.70%"
"05/01/2003","96.95","91.92","97.09","90.50","884.84M","5.48%"
"04/01/2003","91.91","85.25","92.80","84.91","999.07M","8.46%"
"03/01/2003","84.74","85.26","89.88","79.38","1.16B","-0.19%"
"02/01/2003","84.90","86.14","86.82","81.00","864.06M","-1.35%"
"01/01/2003","86.06","88.85","93.86","84.15","919.29M","-2.46%"
"12/01/2002","88.23","95.47","96.05","87.11","729.20M","-6.12%"
"11/01/2002","93.98","88.35","94.95","87.45","819.43M","6.17%"
"10/01/2002","88.52","82.44","91.29","77.07","1.35B","8.23%"
"09/01/2002","81.79","90.73","93.33","80.01","1.01B","-10.88%"
"08/01/2002","91.78","90.88","97.15","83.55","948.09M","0.68%"
"07/01/2002","91.16","99.19","99.80","77.68","1.13B","-7.88%"
"06/01/2002","98.96","107.09","107.60","95.19","535.84M","-7.70%"
"05/01/2002","107.22","107.97","111.25","104.90","453.23M","-0.59%"
"04/01/2002","107.86","114.23","115.10","106.63","404.64M","-5.82%"
"03/01/2002","114.52","111.72","117.91","111.51","386.62M","3.03%"
"02/01/2002","111.15","113.09","113.30","107.82","424.77M","-1.79%"
"01/01/2002","113.18","115.11","117.99","108.40","349.87M","-0.98%"
"12/01/2001","114.30","113.65","118.00","112.00","308.51M","0.22%"
"11/01/2001","114.05","106.60","116.90","105.70","374.03M","7.80%"
"10/01/2001","105.80","103.90","111.79","102.83","512.89M","1.30%"
"09/01/2001","104.44","113.85","116.17","93.80","419.27M","-8.51%"
"08/01/2001","114.15","121.97","123.25","112.04","269.62M","-5.93%"
"07/01/2001","121.35","122.80","124.32","116.75","196.99M","-1.02%"
"06/01/2001","122.60","126.20","129.23","120.40","203.61M","-2.66%"
"05/01/2001","125.95","125.07","132.09","123.44","208.07M","0.83%"
"04/01/2001","124.91","116.30","127.27","109.30","252.00M","7.04%"
"03/01/2001","116.69","124.05","127.75","108.04","318.20M","-5.86%"
"02/01/2001","123.95","137.10","137.99","121.80","178.61M","-9.54%"
"01/01/2001","137.02","132.00","138.70","127.56","181.34M","4.44%"
"12/01/2000","131.19","133.19","139.56","125.53","165.52M","-0.82%"
"11/01/2000","132.28","142.25","144.30","129.75","156.70M","-7.46%"
"10/01/2000","142.95","144.28","145.75","130.16","178.41M","-0.47%"
"09/01/2000","143.62","153.25","153.59","142.12","113.20M","-5.72%"
"08/01/2000","152.34","143.62","153.09","142.62","102.37M","6.53%"
"07/01/2000","143.00","145.44","151.98","141.52","106.78M","-1.57%"
"06/01/2000","145.28","143.69","149.16","143.00","126.95M","1.73%"
"05/01/2000","142.81","146.56","148.48","136.50","161.03M","-1.57%"
"04/01/2000","145.09","150.12","153.11","133.50","230.56M","-3.52%"
"03/01/2000","150.38","137.62","155.75","135.03","247.59M","9.42%"
"02/01/2000","137.44","139.75","144.56","132.72","186.94M","-1.52%"
"01/01/2000","139.56","148.25","148.25","135.00","156.77M","-4.98%"
