"date","open","high","low","close","volume","pct_chg"
2000-07-11,147.47,149.12,147.16,148.16,5430000,0.0022
2000-07-12,149.28,150.12,148.69,149.12,5880000,0.0065
2000-07-13,149.98,150.38,149.19,149.78,5360000,0.0044
2000-07-14,150.44,151.25,149.67,151.25,5340000,0.0098
2000-07-17,150.98,151.98,150.69,151,4210000,-0.0017
2000-07-18,150.62,150.62,149.34,149.77,4260000,-0.0081
2000-07-19,149.47,149.91,148.25,148.56,8510000,-0.0081
2000-07-20,149,150.62,148.81,150.62,4540000,0.0139
2000-07-21,149.75,149.75,147.69,147.69,5660000,-0.0195
2000-07-24,148.12,148.86,146.56,146.84,5630000,-0.0058
2000-07-25,147.75,147.84,146.78,147.31,4760000,0.0032
2000-07-26,146.97,147.16,145.64,145.88,12060000,-0.0097
2000-07-27,145.94,146.62,144.69,145.38,7650000,-0.0034
2000-07-28,145.72,145.91,141.52,142.09,6230000,-0.0226
2000-07-31,142.94,144.12,142.06,143,5270000,0.0064
2000-08-01,143.62,144.72,143.12,143.88,3950000,0.0062
2000-08-02,143.88,145.41,143.62,144.59,7440000,0.0049
2000-08-03,142.88,145.81,142.62,145.59,4610000,0.0069
2000-08-04,146.31,146.72,145.41,146.38,3690000,0.0054
2000-08-07,146.72,148.44,146.38,148.12,4160000,0.0119
2000-08-08,147.5,148.81,147.5,148.69,3660000,0.0038
2000-08-09,149.14,149.22,147.38,147.44,5380000,-0.0084
2000-08-10,147.53,147.86,146.28,146.72,4190000,-0.0049
2000-08-11,146.62,148,145.56,147.41,5090000,0.0047
2000-08-14,147.78,149.56,147.06,149.28,2970000,0.0127
2000-08-15,149.34,149.81,148.56,149.16,5560000,-8e-04
2000-08-16,149.31,149.94,147.84,148.62,5190000,-0.0036
2000-08-17,148.69,150.44,148.34,150.19,5650000,0.0106
2000-08-18,150.38,150.38,149.22,149.69,4630000,-0.0033
2000-08-21,150.03,150.72,149.41,150.5,2380000,0.0054
